test0,test1,test2,test3,test4
"{'NDCG@5': 0.29691965821806554, 'HR@5': 0.40309925460965085}","{'NDCG@5': 0.2638911498365311, 'HR@5': 0.35792273236282196}","{'NDCG@5': 0.23711117828890754, 'HR@5': 0.331873845522337}","{'NDCG@5': 0.19891218553391352, 'HR@5': 0.28772073361969047}","{'NDCG@5': 0.15908700747729473, 'HR@5': 0.23228400109021533}"
"{'NDCG@5': 0.297255766400147, 'HR@5': 0.4030011769321302}","{'NDCG@5': 0.2649770450854029, 'HR@5': 0.35862262038073905}","{'NDCG@5': 0.23737731373399926, 'HR@5': 0.33180543203119656}","{'NDCG@5': 0.19889991735845597, 'HR@5': 0.2875161928137997}","{'NDCG@5': 0.1583496626729723, 'HR@5': 0.2309212319433088}"
"{'NDCG@5': 0.2987966261036188, 'HR@5': 0.4040800313848568}","{'NDCG@5': 0.26521876578342235, 'HR@5': 0.35848264277715564}","{'NDCG@5': 0.2385852994440335, 'HR@5': 0.33276322090716287}","{'NDCG@5': 0.1996569295914598, 'HR@5': 0.2886070771118838}","{'NDCG@5': 0.1598256979810425, 'HR@5': 0.23446443172526574}"
"{'NDCG@5': 0.2996272032447104, 'HR@5': 0.404276186739898}","{'NDCG@5': 0.2665229060928614, 'HR@5': 0.36198208286674133}","{'NDCG@5': 0.23923528074851022, 'HR@5': 0.3339262502565506}","{'NDCG@5': 0.20053991053752565, 'HR@5': 0.2896297811413377}","{'NDCG@5': 0.16086302861173968, 'HR@5': 0.235145816298719}"
"{'NDCG@5': 0.29939429143902535, 'HR@5': 0.4039819537073362}","{'NDCG@5': 0.2665825589333427, 'HR@5': 0.3608622620380739}","{'NDCG@5': 0.23948899477664326, 'HR@5': 0.33495245262365736}","{'NDCG@5': 0.20018021768987676, 'HR@5': 0.2889479784550351}","{'NDCG@5': 0.16033347921315647, 'HR@5': 0.23337421640774053}"
"{'NDCG@5': 0.30006579950672413, 'HR@5': 0.405256963515104}","{'NDCG@5': 0.26698773577227514, 'HR@5': 0.36205207166853304}","{'NDCG@5': 0.24110570246652308, 'HR@5': 0.33721009783129235}","{'NDCG@5': 0.2008935945586483, 'HR@5': 0.29065248517079156}","{'NDCG@5': 0.16169169354700158, 'HR@5': 0.2369855546470428}"
"{'NDCG@5': 0.3009950765918522, 'HR@5': 0.4063358179678305}","{'NDCG@5': 0.2670097263936463, 'HR@5': 0.36205207166853304}","{'NDCG@5': 0.24184457716367996, 'HR@5': 0.3385099541629609}","{'NDCG@5': 0.20141346682294628, 'HR@5': 0.2909252062453126}","{'NDCG@5': 0.16055256667475637, 'HR@5': 0.23575906241482694}"
"{'NDCG@5': 0.2999081755749918, 'HR@5': 0.404276186739898}","{'NDCG@5': 0.26756992043905786, 'HR@5': 0.361562150055991}","{'NDCG@5': 0.24185009692318687, 'HR@5': 0.3379626462338373}","{'NDCG@5': 0.20175030185193457, 'HR@5': 0.29017522329037976}","{'NDCG@5': 0.16072985038862603, 'HR@5': 0.2354183701281003}"
"{'NDCG@5': 0.30070047718590165, 'HR@5': 0.4045704197724598}","{'NDCG@5': 0.26732472126151197, 'HR@5': 0.3624020156774916}","{'NDCG@5': 0.24232803443916917, 'HR@5': 0.33994663747691045}","{'NDCG@5': 0.20176466596836215, 'HR@5': 0.2896297811413377}","{'NDCG@5': 0.16092807344083054, 'HR@5': 0.23644044698828018}"
"{'NDCG@5': 0.300892443123172, 'HR@5': 0.40535504119262455}","{'NDCG@5': 0.26712782576473004, 'HR@5': 0.36226203807390817}","{'NDCG@5': 0.2424005654769746, 'HR@5': 0.33905726209208453}","{'NDCG@5': 0.20201417669531496, 'HR@5': 0.2904479443649008}","{'NDCG@5': 0.1614182005677092, 'HR@5': 0.2367130008176615}"
"{'NDCG@5': 0.3004904805289082, 'HR@5': 0.40496273048254217}","{'NDCG@5': 0.26802008974139324, 'HR@5': 0.3629619260918253}","{'NDCG@5': 0.24275872908738047, 'HR@5': 0.3385783676541014}","{'NDCG@5': 0.20220325707453385, 'HR@5': 0.2905843049021613}","{'NDCG@5': 0.1615033024007024, 'HR@5': 0.2365085854456255}"
"{'NDCG@5': 0.30109085891954995, 'HR@5': 0.40476657512750097}","{'NDCG@5': 0.2679289811105509, 'HR@5': 0.3623320268756999}","{'NDCG@5': 0.24328809221931416, 'HR@5': 0.34008346445919135}","{'NDCG@5': 0.2027349540645777, 'HR@5': 0.292084270812027}","{'NDCG@5': 0.16244926746379823, 'HR@5': 0.23814390842191333}"
"{'NDCG@5': 0.30037080610738914, 'HR@5': 0.4039819537073362}","{'NDCG@5': 0.26741814399572506, 'HR@5': 0.36219204927211646}","{'NDCG@5': 0.2436760640139265, 'HR@5': 0.3401518779503318}","{'NDCG@5': 0.20328533398857104, 'HR@5': 0.29262971296106904}","{'NDCG@5': 0.16156155067950984, 'HR@5': 0.23664486236031615}"
"{'NDCG@5': 0.30053434288828057, 'HR@5': 0.4038838760298156}","{'NDCG@5': 0.26857991895967204, 'HR@5': 0.3629619260918253}","{'NDCG@5': 0.24382786957349226, 'HR@5': 0.34090442635287677}","{'NDCG@5': 0.20313221963370595, 'HR@5': 0.29276607349832956}","{'NDCG@5': 0.16207931529560266, 'HR@5': 0.2383483237939493}"
"{'NDCG@5': 0.3004310706527259, 'HR@5': 0.4040800313848568}","{'NDCG@5': 0.2689007590548159, 'HR@5': 0.3628919372900336}","{'NDCG@5': 0.2432370016719623, 'HR@5': 0.33980981049462955}","{'NDCG@5': 0.20313071683195227, 'HR@5': 0.2920160905433967}","{'NDCG@5': 0.16168718796078205, 'HR@5': 0.23828018533660397}"
"{'NDCG@5': 0.29990736078383257, 'HR@5': 0.40515888583758336}","{'NDCG@5': 0.269534807449326, 'HR@5': 0.36415173572228443}","{'NDCG@5': 0.24338552798866248, 'HR@5': 0.3405623588971745}","{'NDCG@5': 0.2040170884225033, 'HR@5': 0.2931751551101111}","{'NDCG@5': 0.16216555346098271, 'HR@5': 0.23841646225129462}"
"{'NDCG@5': 0.3005876524489042, 'HR@5': 0.4058454295802275}","{'NDCG@5': 0.2695346138719677, 'HR@5': 0.36261198208286677}","{'NDCG@5': 0.2441608096057054, 'HR@5': 0.3411096668262981}","{'NDCG@5': 0.20418524635597943, 'HR@5': 0.2926978932296993}","{'NDCG@5': 0.16187674497865737, 'HR@5': 0.23848460070863994}"
"{'NDCG@5': 0.30168234493267126, 'HR@5': 0.4060415849352687}","{'NDCG@5': 0.2693305887932473, 'HR@5': 0.3627519596864502}","{'NDCG@5': 0.24513731662039856, 'HR@5': 0.34145173428200043}","{'NDCG@5': 0.20485656325670143, 'HR@5': 0.29549328424353993}","{'NDCG@5': 0.16251559406478136, 'HR@5': 0.23957481602616518}"
"{'NDCG@5': 0.30185659691581535, 'HR@5': 0.40594350725774814}","{'NDCG@5': 0.26937560526996657, 'HR@5': 0.3628919372900336}","{'NDCG@5': 0.2450715768424742, 'HR@5': 0.3416569747554218}","{'NDCG@5': 0.20497749278560262, 'HR@5': 0.2944023999454558}","{'NDCG@5': 0.16204425993119725, 'HR@5': 0.2385527391659853}"
"{'NDCG@5': 0.3034433284632863, 'HR@5': 0.4067281286779129}","{'NDCG@5': 0.2695849825042365, 'HR@5': 0.3629619260918253}","{'NDCG@5': 0.24531189606841772, 'HR@5': 0.3419306287199836}","{'NDCG@5': 0.20523746892379233, 'HR@5': 0.29467512101997684}","{'NDCG@5': 0.16282087407108808, 'HR@5': 0.23971109294085582}"
"{'NDCG@5': 0.3042364191556303, 'HR@5': 0.40986661435857197}","{'NDCG@5': 0.2698358737063135, 'HR@5': 0.36338185890257557}","{'NDCG@5': 0.24439146617412333, 'HR@5': 0.34076759937059586}","{'NDCG@5': 0.20566972866177935, 'HR@5': 0.29610690666121225}","{'NDCG@5': 0.16213753384384144, 'HR@5': 0.23828018533660397}"
"{'NDCG@5': 0.303980299166892, 'HR@5': 0.4097685366810514}","{'NDCG@5': 0.2711486973822542, 'HR@5': 0.3648516237402016}","{'NDCG@5': 0.2447152479856229, 'HR@5': 0.3411780803174386}","{'NDCG@5': 0.20523171081833874, 'HR@5': 0.2953569237062794}","{'NDCG@5': 0.16286196548994603, 'HR@5': 0.2385527391659853}"
"{'NDCG@5': 0.3041370728242459, 'HR@5': 0.40908199293840725}","{'NDCG@5': 0.27117498520755123, 'HR@5': 0.3650615901455767}","{'NDCG@5': 0.2450303888936048, 'HR@5': 0.34172538824656223}","{'NDCG@5': 0.2051899081052323, 'HR@5': 0.29624326719847277}","{'NDCG@5': 0.16241862068999144, 'HR@5': 0.23759880076315074}"
"{'NDCG@5': 0.30388294576707164, 'HR@5': 0.4099646920360926}","{'NDCG@5': 0.2716015037758739, 'HR@5': 0.36632138857782753}","{'NDCG@5': 0.244937492249686, 'HR@5': 0.34186221522884314}","{'NDCG@5': 0.20482203812470248, 'HR@5': 0.2947433012886071}","{'NDCG@5': 0.16167295224330672, 'HR@5': 0.23718997001907877}"
"{'NDCG@5': 0.3036280671547899, 'HR@5': 0.4096704590035308}","{'NDCG@5': 0.27060305709476207, 'HR@5': 0.36639137737961924}","{'NDCG@5': 0.2442446556306655, 'HR@5': 0.3411780803174386}","{'NDCG@5': 0.20522232340773647, 'HR@5': 0.2956978250494307}","{'NDCG@5': 0.16190891695680987, 'HR@5': 0.23841646225129462}"
"{'NDCG@5': 0.3032997625979018, 'HR@5': 0.40859160455080423}","{'NDCG@5': 0.27134585306475645, 'HR@5': 0.36681131019036955}","{'NDCG@5': 0.24383257527871616, 'HR@5': 0.3404255319148936}","{'NDCG@5': 0.20547329645454915, 'HR@5': 0.29631144746710303}","{'NDCG@5': 0.16154774563412852, 'HR@5': 0.23766693922049606}"
"{'NDCG@5': 0.30389836438198037, 'HR@5': 0.40888583758336605}","{'NDCG@5': 0.2712812741058899, 'HR@5': 0.3661114221724524}","{'NDCG@5': 0.24444630857764524, 'HR@5': 0.3405623588971745}","{'NDCG@5': 0.20559875956269108, 'HR@5': 0.2956978250494307}","{'NDCG@5': 0.16174850319050071, 'HR@5': 0.2388252929953666}"
"{'NDCG@5': 0.3038729702371091, 'HR@5': 0.4087877599058454}","{'NDCG@5': 0.2728581553927361, 'HR@5': 0.3687010078387458}","{'NDCG@5': 0.2456249429869915, 'HR@5': 0.34240952315796674}","{'NDCG@5': 0.20640580365574998, 'HR@5': 0.29692506988477535}","{'NDCG@5': 0.1617017544229602, 'HR@5': 0.23841646225129462}"
"{'NDCG@5': 0.30387124660707293, 'HR@5': 0.4094743036484896}","{'NDCG@5': 0.2717790694402566, 'HR@5': 0.36751119820828665}","{'NDCG@5': 0.2444033757742555, 'HR@5': 0.34076759937059586}","{'NDCG@5': 0.20584001448140182, 'HR@5': 0.2961750869298425}","{'NDCG@5': 0.16124244854921235, 'HR@5': 0.23766693922049606}"
"{'NDCG@5': 0.3046169417705426, 'HR@5': 0.41074931345625737}","{'NDCG@5': 0.2719422372142242, 'HR@5': 0.3671612541993281}","{'NDCG@5': 0.24482101820836943, 'HR@5': 0.3413149072997195}","{'NDCG@5': 0.2058303449106909, 'HR@5': 0.29610690666121225}","{'NDCG@5': 0.1628516794350229, 'HR@5': 0.23984736985554647}"
"{'NDCG@5': 0.3053325142520981, 'HR@5': 0.40986661435857197}","{'NDCG@5': 0.27342291771895844, 'HR@5': 0.3694708846584546}","{'NDCG@5': 0.24475956190195466, 'HR@5': 0.3412464938085791}","{'NDCG@5': 0.20684920391308761, 'HR@5': 0.29740233176518716}","{'NDCG@5': 0.1631959693466894, 'HR@5': 0.2401880621422731}"
"{'NDCG@5': 0.3058404700887052, 'HR@5': 0.41123970184386033}","{'NDCG@5': 0.272273931663439, 'HR@5': 0.36737122060470323}","{'NDCG@5': 0.24484310884738467, 'HR@5': 0.3411780803174386}","{'NDCG@5': 0.2066133145576217, 'HR@5': 0.2973341514965569}","{'NDCG@5': 0.1627441008986856, 'HR@5': 0.2402562005996184}"
"{'NDCG@5': 0.3059126880532695, 'HR@5': 0.41094546881129856}","{'NDCG@5': 0.2732061450503232, 'HR@5': 0.36954087346024633}","{'NDCG@5': 0.24463075933899148, 'HR@5': 0.3412464938085791}","{'NDCG@5': 0.20659437711009399, 'HR@5': 0.29658416854162406}","{'NDCG@5': 0.1628991141374776, 'HR@5': 0.23930226219678385}"
"{'NDCG@5': 0.30617754982659284, 'HR@5': 0.4128089446841899}","{'NDCG@5': 0.2735889046703293, 'HR@5': 0.3691209406494961}","{'NDCG@5': 0.24482062092622214, 'HR@5': 0.3422042826845454}","{'NDCG@5': 0.20711917120345683, 'HR@5': 0.29692506988477535}","{'NDCG@5': 0.16234929530826903, 'HR@5': 0.23937040065412918}"
"{'NDCG@5': 0.3059503306707203, 'HR@5': 0.4126127893291487}","{'NDCG@5': 0.27374188826837786, 'HR@5': 0.3692609182530795}","{'NDCG@5': 0.24467314354945507, 'HR@5': 0.3416569747554218}","{'NDCG@5': 0.20784269426571986, 'HR@5': 0.29869775686916206}","{'NDCG@5': 0.16188092378699753, 'HR@5': 0.23821204687925865}"
"{'NDCG@5': 0.3060716583305701, 'HR@5': 0.41290702236171045}","{'NDCG@5': 0.2733991913289773, 'HR@5': 0.3686310190369541}","{'NDCG@5': 0.24525557659109232, 'HR@5': 0.34186221522884314}","{'NDCG@5': 0.2071948969491574, 'HR@5': 0.29658416854162406}","{'NDCG@5': 0.1625166606244658, 'HR@5': 0.23909784682474788}"
"{'NDCG@5': 0.3058873444445219, 'HR@5': 0.41114162416633976}","{'NDCG@5': 0.27374825366201866, 'HR@5': 0.3691909294512878}","{'NDCG@5': 0.24705185869060065, 'HR@5': 0.34295683108709035}","{'NDCG@5': 0.20704266593136536, 'HR@5': 0.29644780800436354}","{'NDCG@5': 0.1629889324425302, 'HR@5': 0.2388252929953666}"
"{'NDCG@5': 0.3064432458403543, 'HR@5': 0.4123185562965869}","{'NDCG@5': 0.27388991136426694, 'HR@5': 0.36996080627099664}","{'NDCG@5': 0.246392865183657, 'HR@5': 0.34268317712252855}","{'NDCG@5': 0.207731127564473, 'HR@5': 0.2976750528397082}","{'NDCG@5': 0.16342993686019971, 'HR@5': 0.23902970836740256}"
"{'NDCG@5': 0.30648814587428885, 'HR@5': 0.4118281679089839}","{'NDCG@5': 0.2742811232856205, 'HR@5': 0.37094064949608063}","{'NDCG@5': 0.24668024177016132, 'HR@5': 0.34343572552507357}","{'NDCG@5': 0.20741745019437502, 'HR@5': 0.29658416854162406}","{'NDCG@5': 0.16239611435545234, 'HR@5': 0.23766693922049606}"
"{'NDCG@5': 0.306837132747019, 'HR@5': 0.41310317771675165}","{'NDCG@5': 0.27493723091972605, 'HR@5': 0.37122060470324747}","{'NDCG@5': 0.24661437131856012, 'HR@5': 0.34357255250735447}","{'NDCG@5': 0.20820796700748903, 'HR@5': 0.2980159541828595}","{'NDCG@5': 0.16204974863855906, 'HR@5': 0.23773507767784138}"
"{'NDCG@5': 0.3070864531225396, 'HR@5': 0.41310317771675165}","{'NDCG@5': 0.2741419567137978, 'HR@5': 0.3705207166853303}","{'NDCG@5': 0.24602899860278843, 'HR@5': 0.34254635014024765}","{'NDCG@5': 0.20821681633975972, 'HR@5': 0.29787959364559896}","{'NDCG@5': 0.16181980175728664, 'HR@5': 0.23630417007358953}"
"{'NDCG@5': 0.30723215171895674, 'HR@5': 0.4128089446841899}","{'NDCG@5': 0.2746756312214311, 'HR@5': 0.37122060470324747}","{'NDCG@5': 0.24663101110528768, 'HR@5': 0.3426147636313881}","{'NDCG@5': 0.20851554175079873, 'HR@5': 0.29822049498875025}","{'NDCG@5': 0.16191675997155847, 'HR@5': 0.2369855546470428}"
"{'NDCG@5': 0.3065335621554693, 'HR@5': 0.41123970184386033}","{'NDCG@5': 0.27443496800560435, 'HR@5': 0.3713605823068309}","{'NDCG@5': 0.24725457758649336, 'HR@5': 0.3440514469453376}","{'NDCG@5': 0.2092375297973177, 'HR@5': 0.2999250017045067}","{'NDCG@5': 0.1625886467222372, 'HR@5': 0.2372581084764241}"
"{'NDCG@5': 0.30640795673992904, 'HR@5': 0.4114358571989015}","{'NDCG@5': 0.27375668236775064, 'HR@5': 0.3696108622620381}","{'NDCG@5': 0.24723487051750395, 'HR@5': 0.34459875487446123}","{'NDCG@5': 0.20907967126315688, 'HR@5': 0.2997886411672462}","{'NDCG@5': 0.16285768872749448, 'HR@5': 0.23773507767784138}"
"{'NDCG@5': 0.3070135467064875, 'HR@5': 0.4130051000392311}","{'NDCG@5': 0.27434705840076135, 'HR@5': 0.3704507278835386}","{'NDCG@5': 0.24735488825246774, 'HR@5': 0.34384620647191627}","{'NDCG@5': 0.2085841885010688, 'HR@5': 0.29856139633190154}","{'NDCG@5': 0.16232544335803364, 'HR@5': 0.23637230853093485}"
"{'NDCG@5': 0.3061903962372011, 'HR@5': 0.41133777952138095}","{'NDCG@5': 0.27430349490547756, 'HR@5': 0.3708706606942889}","{'NDCG@5': 0.24634830817786704, 'HR@5': 0.3428884175959499}","{'NDCG@5': 0.20759303680401733, 'HR@5': 0.29869775686916206}","{'NDCG@5': 0.16295561764096375, 'HR@5': 0.23943853911147453}"
"{'NDCG@5': 0.3066396716103912, 'HR@5': 0.41320125539427227}","{'NDCG@5': 0.27415172333976834, 'HR@5': 0.3702407614781635}","{'NDCG@5': 0.2465278680510115, 'HR@5': 0.3430252445782308}","{'NDCG@5': 0.2065285002739864, 'HR@5': 0.29658416854162406}","{'NDCG@5': 0.16248637254675644, 'HR@5': 0.23766693922049606}"
"{'NDCG@5': 0.3068719509668571, 'HR@5': 0.4130051000392311}","{'NDCG@5': 0.2746177473201228, 'HR@5': 0.37094064949608063}","{'NDCG@5': 0.24671369292310386, 'HR@5': 0.3431620715605117}","{'NDCG@5': 0.20679982254984194, 'HR@5': 0.29692506988477535}","{'NDCG@5': 0.1621653550430905, 'HR@5': 0.23753066230580538}"
"{'NDCG@5': 0.307063777488443, 'HR@5': 0.41329933307179284}","{'NDCG@5': 0.27455488823445773, 'HR@5': 0.3702407614781635}","{'NDCG@5': 0.24701628659326758, 'HR@5': 0.3440514469453376}","{'NDCG@5': 0.2076307713757545, 'HR@5': 0.2978114133769687}","{'NDCG@5': 0.16253043360625252, 'HR@5': 0.23821204687925865}"
"{'NDCG@5': 0.30657524012070575, 'HR@5': 0.4130051000392311}","{'NDCG@5': 0.2740104867970608, 'HR@5': 0.3701707726763718}","{'NDCG@5': 0.24750007723506773, 'HR@5': 0.34521447629472535}","{'NDCG@5': 0.20793850334845856, 'HR@5': 0.29815231472012}","{'NDCG@5': 0.16298172731699076, 'HR@5': 0.2388934314527119}"
"{'NDCG@5': 0.30729395888993044, 'HR@5': 0.41329933307179284}","{'NDCG@5': 0.2753807829248385, 'HR@5': 0.37255039193729006}","{'NDCG@5': 0.24761258887645757, 'HR@5': 0.34562495724156805}","{'NDCG@5': 0.20776048421391555, 'HR@5': 0.29774323310833845}","{'NDCG@5': 0.16285129429159656, 'HR@5': 0.23814390842191333}"
